index,acc_ln,eig_ln,acc_rn,eig_rn,acc_dn,eig_dn,acc_vgg,eig_vgg
124,78.68,0.038666528,67.645,0.0024165208,50.43,1.3241872e-05,53.42,0.0072331848
125,78.285,0.03861434,67.6125,0.0023818861,50.54,1.312614e-05,53.620000000000005,0.007223484
126,77.89,0.03849193,67.58,0.0023749718,50.65,1.3090542e-05,53.82,0.0072072516
127,78.575,0.038333848,66.855,0.002350518,50.7325,1.3025971e-05,53.917500000000004,0.0071900445
128,79.25999999999999,0.03822427,66.13,0.002336523,50.815,1.2953905e-05,54.015,0.007184728
129,79.945,0.037922017,65.405,0.0023123038,50.897499999999994,1.2889025e-05,54.1125,0.007171595
130,80.63,0.037679274,64.68,0.0022980256,50.98,1.2823279e-05,54.21,0.0071469774
131,78.6875,0.037472412,64.58000000000001,0.0022818143,50.875,1.26977475e-05,54.2425,0.0071356436
132,76.745,0.037386622,64.48,0.002274836,50.769999999999996,1.2592172e-05,54.275000000000006,0.00711965
133,74.8025,0.03727145,64.38,0.0022573427,50.665,1.251322e-05,54.307500000000005,0.0070950086
134,72.86,0.037137955,64.28,0.0022312154,50.56,1.2412847e-05,54.34,0.0070887497
135,73.46000000000001,0.037109423,64.74000000000001,0.0022126606,50.4775,1.2310233e-05,54.08,0.0070665656
136,74.06,0.036991775,65.2,0.0021739225,50.394999999999996,1.2250814e-05,53.82,0.007051283
137,74.66,0.036942758,65.66,0.002151806,50.3125,1.20484065e-05,53.56,0.0070173526
138,75.26,0.036710083,66.12,0.002036715,50.23,1.1982455e-05,53.3,0.0070015364
139,74.9775,0.03655338,66.48,0.0020298515,50.402499999999996,1.184807e-05,53.474999999999994,0.006990345
140,74.695,0.036484227,66.84,0.0020209902,50.575,1.1800795e-05,53.65,0.0069816294
141,74.4125,0.036211297,67.2,0.0020147266,50.7475,1.171983e-05,53.825,0.00696771
142,74.13,0.036105674,67.56,0.001996801,50.92,1.15809835e-05,54.0,0.0069540897
143,75.085,0.036052685,66.8475,0.001990863,50.7875,1.1531499e-05,53.5125,0.006928925
144,76.03999999999999,0.03586182,66.13499999999999,0.0019704707,50.655,1.1446178e-05,53.025,0.0069186683
145,76.995,0.03573449,65.4225,0.0019560396,50.5225,1.1393179e-05,52.537499999999994,0.0069112726
146,77.95,0.035603482,64.71,0.0019312671,50.39,1.12879225e-05,52.05,0.0068914066
147,77.07000000000001,0.035573266,64.1875,0.0019124058,50.307500000000005,1.1266252e-05,52.1125,0.0068761916
148,76.19,0.03532067,63.66499999999999,0.0019098883,50.225,1.1108902e-05,52.175,0.0068650343
149,75.31,0.03530226,63.1425,0.0019092411,50.1425,1.1000386e-05,52.2375,0.0068525085
150,74.43,0.03522617,62.62,0.0018949284,50.06,1.0955017e-05,52.3,0.0068390407
151,74.2125,0.03509779,62.4525,0.0018885537,50.06,1.0904863e-05,52.295,0.006814191
152,73.995,0.035018202,62.285,0.0018748837,50.06,1.0793646e-05,52.29,0.0068079224
153,73.7775,0.035006367,62.1175,0.0018584424,50.06,1.06965335e-05,52.285,0.0067799157
154,73.56,0.0349138,61.95,0.001855901,50.06,1.0658586e-05,52.28,0.0067717996
155,72.775,0.034800716,62.105000000000004,0.0018497431,50.1525,1.0599561e-05,52.105000000000004,0.006756826
156,71.99000000000001,0.03458517,62.260000000000005,0.0018411995,50.245000000000005,1.0548224e-05,51.93,0.0067455983
157,71.205,0.0344711,62.415,0.0018396445,50.3375,1.0532879e-05,51.754999999999995,0.0067156763
158,70.42,0.034377076,62.57,0.0018326772,50.43,1.0407305e-05,51.58,0.0067113987
159,70.715,0.034161735,62.665,0.0018271145,50.3575,1.0388237e-05,51.567499999999995,0.0066998606
160,71.00999999999999,0.034084957,62.760000000000005,0.0018157325,50.285,1.0355752e-05,51.555,0.0066792034
161,71.30499999999999,0.034014627,62.855000000000004,0.001809774,50.2125,1.0304775e-05,51.542500000000004,0.0066743
162,71.6,0.033859797,62.95,0.0018053635,50.14,1.02507765e-05,51.53,0.0066661756
163,72.065,0.03372045,62.895,0.0017965975,50.24,1.0181438e-05,51.2525,0.0066402303
164,72.53,0.03366786,62.84,0.0017923682,50.34,1.00805755e-05,50.975,0.006631579
165,72.99499999999999,0.03361848,62.785,0.0017900371,50.44,1.0018727e-05,50.697500000000005,0.006624415
166,73.46,0.033549864,62.73,0.0017836791,50.54,9.962162e-06,50.42,0.0066064647
167,73.2375,0.033402693,62.535,0.0017757297,50.435,9.912478e-06,50.945,0.006596299
168,73.01499999999999,0.03338539,62.34,0.0017673591,50.33,9.838407e-06,51.47,0.006584033
169,72.79249999999999,0.033324737,62.145,0.0017633757,50.224999999999994,9.812349e-06,51.995000000000005,0.0065642907
170,72.57,0.033292487,61.95,0.0017587795,50.12,9.739128e-06,52.52,0.006544022
171,72.5475,0.033107493,61.972500000000004,0.0017531592,50.15,9.696813e-06,52.6525,0.0065384456
172,72.525,0.033015855,61.995000000000005,0.0017492222,50.18,9.615323e-06,52.785,0.006524662
173,72.5025,0.032967143,62.0175,0.0017446268,50.21,9.568949e-06,52.9175,0.0065139183
174,72.48,0.032886777,62.04,0.0017383486,50.24,9.510737e-06,53.05,0.0065036383
175,72.7675,0.032818843,62.045,0.0017343004,50.2475,9.433653e-06,52.9475,0.006495335
