x,y,acc_lr,acc_ln,acc_rn,acc_dn,acc_vgg
8,1,100.0,74.36000061035160,99.1500015258789,53.290000915527300,60.040000915527300
9,1,100.0,55.939998626709000,50.790000915527300,50.08000183105470,52.279998779296900
10,1,100.0,52.77000045776370,96.66000366210940,50.40999984741210,50.290000915527300
11,1,100.0,50.970001220703100,50.599998474121100,50.81999969482420,50.34000015258790
12,1,100.0,50.349998474121100,96.9800033569336,50.04999923706060,50.189998626709000
13,1,100.0,49.599998474121100,50.93000030517580,50.220001220703100,50.0099983215332
14,1,100.0,49.95000076293950,95.22000122070310,49.36000061035160,50.36000061035160
15,1,100.0,50.209999084472700,50.97999954223630,50.72999954223630,50.7599983215332
0,2,100.0,49.65999984741210,99.95999908447270,50.27000045776370,50.7400016784668
1,2,100.0,50.619998931884800,97.44000244140630,50.189998626709000,50.310001373291000
2,2,100.0,49.9900016784668,99.80999755859380,49.66999816894530,49.91999816894530
3,2,100.0,50.88999938964840,95.80000305175780,50.45000076293950,50.34000015258790
4,2,100.0,50.95000076293950,99.9000015258789,49.619998931884800,50.529998779296900
5,2,100.0,50.4900016784668,96.5,50.09000015258790,50.810001373291000
6,2,100.0,61.650001525878900,99.91000366210940,49.849998474121100,50.599998474121100
7,2,100.0,69.25,96.95999908447270,50.33000183105470,51.68000030517580
8,2,100.0,77.44999694824220,99.98999786376950,59.29999923706060,61.119998931884800
9,2,100.0,69.25,96.95999908447270,50.33000183105470,51.68000030517580
10,2,100.0,61.650001525878900,99.91000366210940,49.849998474121100,50.599998474121100
11,2,100.0,50.4900016784668,96.5,50.09000015258790,50.810001373291000
12,2,100.0,50.95000076293950,99.9000015258789,49.619998931884800,50.529998779296900
13,2,100.0,50.88999938964840,95.80000305175780,50.45000076293950,50.34000015258790
14,2,100.0,49.9900016784668,99.80999755859380,49.66999816894530,49.91999816894530
15,2,100.0,50.619998931884800,97.44000244140630,50.189998626709000,50.310001373291000
0,3,100.0,50.47999954223630,99.29000091552730,49.400001525878900,51.0
1,3,100.0,49.81999969482420,50.20000076293950,50.470001220703100,50.2400016784668
2,3,100.0,50.810001373291000,96.18000030517580,49.93000030517580,50.18000030517580
3,3,100.0,50.439998626709000,50.689998626709000,49.08000183105470,50.08000183105470
4,3,100.0,51.38999938964840,97.0,49.93000030517580,51.22999954223630
5,3,100.0,50.70000076293950,52.41999816894530,48.56999969482420,50.209999084472700
6,3,100.0,54.970001220703100,93.66000366210940,48.95000076293950,50.61000061035160
7,3,100.0,61.66999816894530,51.720001220703100,49.720001220703100,53.459999084472700
8,3,100.0,70.08999633789060,99.52999877929690,59.72999954223630,63.38999938964840
9,3,100.0,61.66999816894530,51.720001220703100,49.720001220703100,53.459999084472700
10,3,100.0,54.970001220703100,93.66000366210940,48.95000076293950,50.61000061035160
11,3,100.0,50.70000076293950,52.41999816894530,48.56999969482420,50.209999084472700
12,3,100.0,51.38999938964840,97.0,49.93000030517580,51.22999954223630
13,3,100.0,50.439998626709000,50.689998626709000,49.08000183105470,50.08000183105470
14,3,100.0,50.810001373291000,96.18000030517580,49.93000030517580,50.18000030517580
15,3,100.0,49.81999969482420,50.20000076293950,50.470001220703100,50.2400016784668
0,4,100.0,50.790000915527300,100.0,50.779998779296900,50.349998474121100
1,4,100.0,50.0,98.0199966430664,50.0,50.5
2,4,100.0,50.7599983215332,99.83000183105470,50.66999816894530,50.630001068115200
3,4,100.0,50.459999084472700,97.33000183105470,49.900001525878900,50.220001220703100
4,4,100.0,50.90999984741210,99.98999786376950,50.470001220703100,49.81999969482420
5,4,100.0,50.310001373291000,96.73999786376950,50.119998931884800,50.9900016784668
6,4,100.0,50.16999816894530,99.88999938964840,49.220001220703100,51.18000030517580
7,4,100.0,50.619998931884800,97.51000213623050,49.5099983215332,52.5099983215332
8,4,100.0,50.40999984741210,100.0,98.44999694824220,55.20000076293950
9,4,100.0,50.619998931884800,97.51000213623050,49.5099983215332,52.5099983215332
10,4,100.0,50.16999816894530,99.88999938964840,49.220001220703100,51.18000030517580
11,4,100.0,50.310001373291000,96.73999786376950,50.119998931884800,50.9900016784668
12,4,100.0,50.90999984741210,99.98999786376950,50.470001220703100,49.81999969482420
13,4,100.0,50.459999084472700,97.33000183105470,49.900001525878900,50.220001220703100
14,4,100.0,50.7599983215332,99.83000183105470,50.66999816894530,50.630001068115200
15,4,100.0,50.0,98.0199966430664,50.0,50.5
0,5,100.0,50.709999084472700,99.33999633789060,50.75,50.45000076293950
